,domain,latency1,latency2,latency3,latency4
0,VR1UTR5NP0Y4A2PWKFOKYXXET99DHDNKOG1BOKYHNB0T9E1CML.askjd,210.87312698364258,32.23299980163574,32.269954681396484,32.41705894470215
1,SKPJDGSYZGCSHGS089IDA28GM143EBC6UXT7IQAVH990JFC8S0.askjd,210.76202392578125,32.23586082458496,32.35006332397461,32.17816352844238
2,FMVTARXB1223V8LCMCYFXQR0OV7D82NBRH8CBCW0JKP7V79O6F.askjd,210.58893203735352,32.33003616333008,32.52387046813965,32.21392631530762
3,5L7ASN5T7EYKBH43XUF3BB0MJA72FLPG6U1IK2A20H7P91RPBF.askjd,210.59799194335938,32.25517272949219,32.466888427734375,32.16290473937988
4,1TUDQJ5GQLVXU9G8I5EK5NKQ7UU6L1X1K46874QWMMOULPYE6Q.askjd,210.64496040344238,32.238006591796875,32.43684768676758,31.991958618164062
5,88Y40Z3821SUU1ICKIAOB13SC2ONWL0M9FIIC5DJ4F6X8Z6UI4.askjd,210.52908897399902,32.33504295349121,32.502174377441406,32.35197067260742
6,GNY70HKKO6N2EFNOEHRVY8YG30TUX1LEHNZT7I1NEW23PG7QTL.askjd,210.64305305480957,32.25302696228027,32.464027404785156,32.305002212524414
7,5FVCOUQHBVWFTS5CMEML1THOTR56W88OV5N0ZQHGW7LFHYFMP9.askjd,210.7539176940918,32.51290321350098,32.39583969116211,32.29999542236328
8,HCWWQPS9SEJD5F0R7JI62P5QIB7J51AVPMUB17IB3HT8ZXDKFC.askjd,210.5391025543213,32.41610527038574,32.362937927246094,32.39107131958008
9,Z25Z01EI7XGG55KSL3H43HGI5DJPZS4K35HIZR0Y72KRYTN6DK.askjd,210.75105667114258,32.40704536437988,32.254934310913086,32.2878360748291
10,G0OS1SUIBK1E5E9GKC2C1VUFC2NXL0FI4ZXAQFPYIXL39VYQPL.askjd,210.70003509521484,32.29808807373047,32.68790245056152,32.38511085510254
11,K35NG1VLH2J2CXTWOPRPLMBTIKV79349MEBY5LY7M9WOD8LOVF.askjd,210.48593521118164,32.340049743652344,32.266855239868164,32.353878021240234
12,XH95JL3AAQLUGSK7KGJGHJKOKINZFHET839IBVT9JFSQJNIANP.askjd,210.59894561767578,32.27090835571289,32.09805488586426,32.037973403930664
13,IXC5DMOEKOBDMNVALXI4E2FVPZQM1SMCB6QDE89X7JOWY82Q6T.askjd,210.71815490722656,32.31096267700195,32.26113319396973,32.250165939331055
14,E7ZB0RZW32XHPPNMNV69RFZL2YZHY4S989FXFUBSUU9ZY13I8O.askjd,210.89887619018555,32.321929931640625,32.30595588684082,32.25088119506836
15,D13ID178SHJ3SOJ8AP8J5LAOSS76Z4EFBT178AKFSTK49X6C0P.askjd,211.36999130249023,32.35292434692383,32.33218193054199,32.43517875671387
16,CI1B8WYKJLBLBC1O1V766E3Z3N1J8WZLZM1VDSAFR05U0GQ273.askjd,210.9060287475586,32.398223876953125,32.10711479187012,32.48190879821777
17,5L40S7N0DZI0HT2ZC5R20GE9E3HQP1IMGZRLCJ14T6NZHBBZB6.askjd,217.12303161621094,32.37009048461914,32.47189521789551,32.2721004486084
18,HUAWY7U46MD9GV83SNYTBJ2W1P7NN41SUIPG8P2H10ILW98PH9.askjd,210.58106422424316,32.50384330749512,32.33695030212402,32.305002212524414
19,FBUIK7RT4PRUML51SLQG1V41JEKFMWURCV4YH1F3DVMDRYBJ73.askjd,211.14611625671387,32.40203857421875,32.41109848022461,32.26780891418457
20,89PC39AV2ING6D07RLXN55GQUCW7MQSOJE96HALVZ6GEAAS5TK.askjd,210.66808700561523,32.47499465942383,32.24015235900879,32.33504295349121
21,4WZFA8ML8SU9DI2OO5WQ3JAW4X4URAYOMIT8E3LUUGSGY524OP.askjd,210.54792404174805,32.32979774475098,32.20105171203613,32.39107131958008
22,LS5FNN69DIPDPMIEFSBV6OP0HJAU897RZVGW9CVBABDZY1AM0M.askjd,210.55102348327637,32.34601020812988,32.41896629333496,32.45687484741211
23,SM5ZA2WRLH1XRR3Y4U5NFKB9TOS6JNS3EP0IS1P0HDV04E10I8.askjd,210.8619213104248,32.56678581237793,32.16290473937988,32.42802619934082
24,6RQ6MTHNO50M2UBN7FEPWV1K2L8K78XALBVOT1PKOF2NGJH2PX.askjd,210.78109741210938,32.629966735839844,32.11808204650879,32.50002861022949
25,ANSDBHN0HG9IK9MG6YYBXBG40O0M2WNNG7UFE6XGO97U4ABGW4.askjd,210.7369899749756,32.401084899902344,32.37485885620117,32.29808807373047
26,PED0XI6JJ1ELPGGFEJ1265S6GJXLZ7C57U3GMUNJMJXTWKJOQP.askjd,210.67190170288086,32.22990036010742,32.318830490112305,32.444000244140625
27,JLXERATFDQ24WQ4Z15H1FYN2H82UMH1J8JVYWALS8V6IOK7AD5.askjd,210.63899993896484,32.35888481140137,32.279014587402344,32.25207328796387
28,DLSTG0H39TTBZ64PEDZ17Q8J10JR21PQYCNJR4T0SD288D99ZV.askjd,210.7090950012207,32.273054122924805,32.10806846618652,31.872987747192383
29,8LZAX2M0JL0AMEG4RLHSUKV7IY654LX9L8ZUHG97NNO9C21YQN.askjd,210.59393882751465,32.37199783325195,32.39798545837402,32.10592269897461
30,JMXS5JMJ86OZS7PQC6KXCFPT3IOK88A04Q63UHMSHPR1M80FAU.askjd,210.71600914001465,32.42301940917969,32.23013877868652,32.0889949798584
31,F467DERY5HW48W5144PPIL2H28M8FODCPGP7NE2O739FNKXD3C.askjd,210.6490135192871,32.30905532836914,32.418012619018555,32.0429801940918
32,HBA01N4SAD3L13ZYU12C2N7V4NRI7V008PTX0JSIN26NX1M6BC.askjd,210.50286293029785,32.42897987365723,32.273054122924805,32.10806846618652
33,V9FUH70Z0G1VSROR8FVSLKVO6BAXG2V2EY2CQG6Y0L4APZR87F.askjd,210.86812019348145,32.40513801574707,32.276153564453125,32.21297264099121
34,0S4WGLZHQYFHCCU77GHNO8E84Y5C1DE0LMJFQ4EYXCIYYTCIQU.askjd,210.6010913848877,32.41300582885742,32.385826110839844,32.28878974914551
35,87W5HELX1D4C5D3MFSEMLHJHNSYWYYJIFHB3ASRUJHUYR7DPCU.askjd,210.6151580810547,32.37795829772949,32.43303298950195,32.43303298950195
36,Q9GW0O2ITWWZ91TNKNFZO473IYCOALKO1Z5N5PH1N5DR14NY1C.askjd,210.60895919799805,32.464027404785156,32.23896026611328,32.328128814697266
