,domain,latency1,latency2,latency3,latency4
0,YWL16XQNPYP9KWX27NBMX1A0F1PUECTB6TY69MQRFMTXGDCDF8.ans1.tld1,197.29995727539062,32.26113319396973,32.39107131958008,32.47189521789551
1,WBQTF5KRP3TIRXL1EJJT947XMQ63TK4QRF54UVAXDSZ3I8OVDC.ans1.tld1,180.49216270446777,32.35197067260742,32.41300582885742,32.49502182006836
2,P91HWN9ZFZP6VIQULV8Z2DFBC6VX5249WZVO5GY2RCIRZ8D12A.ans1.tld1,180.48596382141113,32.17601776123047,32.32407569885254,32.32884407043457
3,YRKW6NDP8802A220WOBLX732HVVDGM46INCLC6XLBL40XQAOTR.ans1.tld1,180.16481399536133,32.20987319946289,32.382965087890625,32.22799301147461
4,SBN1I3G8B8AD4UUW5ZG6X20JHA4HVKKOMALK524Z874NII1Z3X.ans1.tld1,180.11808395385742,32.28497505187988,32.49096870422363,32.28187561035156
5,TB7Z6KUAQCV8MGAEOQPFVP69P9W6MMKNR07XUQ3PIYZ2HLSRU7.ans1.tld1,180.1779270172119,32.31406211853027,32.35507011413574,32.28020668029785
6,7R2TI3KWC5FIF3JFNFJAQNW2YB5454UG2PNVF0AGRMO5XCNI29.ans1.tld1,180.6800365447998,32.41109848022461,32.325029373168945,32.362937927246094
7,EGL4KBF3X1CRG408LDGAT03MYZ15IENR3KLC8NZCVJPWT1C3SB.ans1.tld1,180.4490089416504,32.39107131958008,32.33790397644043,32.42897987365723
8,U8JCFODMGH85AXYTGC5N0MNR5VKQL7YOGF3QKXEDZ1U0SS75L9.ans1.tld1,180.36913871765137,32.21297264099121,32.312870025634766,32.32002258300781
9,1EZH7AP815CL3SMAE02PK81U2V6BXBVMSAGZ1GX420W9V63PHV.ans1.tld1,180.33099174499512,32.32312202453613,32.43112564086914,32.716989517211914
10,6R846OCZLT3OCO3SDR9LLAHKB669GUD0HRW6WPW8BCSO8JOT7Y.ans1.tld1,180.5739402770996,32.26900100708008,32.327890396118164,32.56106376647949
